player_a,player_b,wins_a,wins_b
Novak Djokovic,Rafael Nadal,30,29
Novak Djokovic,Roger Federer,27,23
Rafael Nadal,Roger Federer,24,16
Novak Djokovic,Andy Murray,25,11
Novak Djokovic,Stan Wawrinka,21,5
Novak Djokovic,Stefanos Tsitsipas,12,3
Novak Djokovic,Alexander Zverev,10,6
Novak Djokovic,Daniil Medvedev,10,4
Novak Djokovic,Carlos Alcaraz,5,4
Novak Djokovic,Andrey Rublev,9,1
Novak Djokovic,Casper Ruud,4,0
Novak Djokovic,Grigor Dimitrov,11,1
Andy Murray,Roger Federer,11,14
Andy Murray,Rafael Nadal,7,17
Rafael Nadal,Stan Wawrinka,17,3
Roger Federer,Stan Wawrinka,19,3
Carlos Alcaraz,Jannik Sinner,8,5
Carlos Alcaraz,Daniil Medvedev,4,1
Carlos Alcaraz,Alexander Zverev,6,4
Carlos Alcaraz,Casper Ruud,2,0
Carlos Alcaraz,Stefanos Tsitsipas,3,1
Jannik Sinner,Daniil Medvedev,8,4
Jannik Sinner,Alexander Zverev,7,3
Jannik Sinner,Andrey Rublev,6,3
Jannik Sinner,Stefanos Tsitsipas,5,1
Jannik Sinner,Casper Ruud,3,1
Daniil Medvedev,Alexander Zverev,7,6
Daniil Medvedev,Andrey Rublev,4,2
Alexander Zverev,Stefanos Tsitsipas,10,6
Iga Swiatek,Aryna Sabalenka,6,4
Aryna Sabalenka,Coco Gauff,8,3
Iga Swiatek,Coco Gauff,9,2
Iga Swiatek,Elena Rybakina,4,2
Aryna Sabalenka,Elena Rybakina,5,4
Serena Williams,Venus Williams,19,12
Serena Williams,Maria Sharapova,20,2
Serena Williams,Victoria Azarenka,16,4
Serena Williams,Angelique Kerber,7,2
Maria Sharapova,Justine Henin,4,8
Justine Henin,Serena Williams,6,8
Ashleigh Barty,Simona Halep,4,2
Simona Halep,Caroline Wozniacki,10,4
Petra Kvitova,Simona Halep,5,7
Naomi Osaka,Serena Williams,2,1
